text	label	prediction
Les pizzas sont correctes et les plats du jour sont très chers.	neutral pizzas | negative plats du jour                                                                                                                      	 neutral pizzas | negative plats du jour    
Pas de viandes sur la carte.	neutral carte                                                                                                                             	 negative viandes sur la carte     
Tiramisu très bon et abondant.	positive Tiramisu | positive Tiramisu                                                                                                                      	 positive Tiramisu | positive Tiramisu    
Les excellentes critiques de ce restaurant se sont confirmées à table.	positive restaurant                                                                                                                             	 positive restaurant           
Le menu-carte offre un choix pour tous les goûts et permet de découvrir des plats de saison bien présentés.	positive menu-carte | positive plats de saison                                                                                                                     	 positive menu-carte | positive plats de saison   
La carte est a priori renouvelée chaque jour de 3 entrées, 3 plats et 3 desserts.	positive carte                                                                                                                             	 positive carte d'entrées | positive plats | positive desserts
Mais les incontournables restent manifestement la dorade en tartare, les crevettes cajun, les gnocchi d'agria à la truffe blanche, le dos de cabillaud à la plancha (parfaitement cuit et servi sur un lit de salsifis).	positive dorade en tartare | positive crevettes cajun | positive gnocchi d'agria à la truffe blanche | positive dos de cabillaud                                                                                          	 positive dorade en tartare | positive crevettes cajun | positive gnocchi d'agria à la truffe blanche | positive dos de cabillaud à la plancha
La carte des vins est également courte et fait la part belle aux Côtes du Rhône et Languedoc Roussillon en mettant en avant des cuvées abordables dont quelques unes issues de producteurs reconnus.	neutral carte des vins | positive cuvées | positive cuvées                                                                                                                   	 positive carte des vins | positive cuvées issues de producteurs reconnus                            
Service attentif et sympathique.	positive Service                                                                                                                             	 positive Service                                        
Le sommelier n'hésite pas à changer une bouteille présentant un défaut.	positive sommelier                                                                                                                            	 negative sommelier                                      
Ambiance bistrot chic.	neutral Ambiance                                                                                                                            	 positive Ambiance bistrot chic
Un peu bruyant mais comme le restaurant parait rempli tous les soirs...	negative restaurant | positive restaurant                                                                                                                         	 negative restaurant | positive restaurant 
Une bonne adresse à deux pas de l'Etoile.	positive adresse | neutral Etoile                                                                                                                         	 positive adresse     
Encore un resto qui perd petit à petit de la qualité.	negative resto                                                                                                                            	 negative resto    
La deco est géniale, je suis plutôt fan, même si la préférence va à la Deco de type recup ou industriel, cette deco type romantique me plait plutôt.	positive deco                                                                                                                            	 positive deco | positive déco type romantique
A l'intérieur on est tranquille et si on aime voir du monde passer on se met en terrasse, très agréable en été d ailleurs ou je passe ps mal de temps avec les copains à regarder les gens passer.	positive terrasse | positive intérieur                                                                                                                         	 positive intérieur | positive terrasse   
Encore un fois le problème comme dans pas mal de resto finalement le problème réside dans la nourriture qui n'est pas au niveau, ni de l'adresse, ni de l'effort fait à la déco.	negative nourriture | positive déco                                                                                                                       	 negative nourriture | negative déco
Il y a quelques années, le burger en forme de cœur était un must have, il est aujourd'hui devenu commun, je ne le finis meme plus.	negative burger                                                                                                                            	 positive burger en forme de cœur 
J'ai adoré le décors...	positive décors                                                                                                                            	 positive décors            
J'ai apprécié l'histoire des lieux.	positive histoire des lieux                                                                                                                         	 positive histoire des lieux         
Nus avons eu huîtres, crevettes roses et homard en entrée, les produits étaient de qualité.	positive produits                                                                                                                            	 positive huîtres | positive crevettes roses | positive homard
Les crevettes étaient fermes et excellente.	positive crevettes                                                                                                                           	 positive crevettes           
le homard un peu petit, du canadien sans doute.	negative homard                                                                                                                           	 negative homard    
La soupe tout d'abord très bonne, généreux en croûtons...	positive soupe | positive soupe                                                                                                                        	 positive soupe | positive croûtons
La suite, les poissons très fins, un des poissons était rempli d'arrête, c'est dommage mais bon...	positive poissons | negative poissons                                                                                                                       	 negative suite | negative poissons
Cela n'enlève rien à la qualité de la bouillabaisse...	positive bouillabaisse                                                                                                                          	 positive bouillabaisse   
Belle réussite sur le soufflé, attention taille impressionnante!! Fond bien dans la bouche, pas lourd du tout!	positive soufflé | positive soufflé                                                                                                                      	 positive soufflé | positive soufflé
C'était un très bon déjeuner.	positive déjeuner                                                                                                                           	 positive déjeuner     
Un restaurant extrêmement bien situé tout en haut des Champs Elysée!	positive restaurant                                                                                                                             	 positive restaurant       
Niveau décoration cela reste très inventif et change de la décoration ordinaire.	positive décoration                                                                                                                            	 positive décoration      
La cuisine est correcte pour les prix pratiqués.	neutral cuisine | positive cuisine                                                                                                                          	 neutral cuisine              
Le personnel est très occupé par les différentes tables donc ne vous attendez pas à une attention particulière envers vous!	negative personnel                                                                                                                            	 neutral personnel              
Restaurant à essayer (au moins une fois) pour vous en faire une idée.	positive Restaurant                                                                                                                             	 positive Restaurant              
Très bel endroit avec vue sur la Tour Eiffel c est certain mais et il y a vraiment un mais au delà des prix prohibitifs pour un dîner très moyen en qualité et très prétention en présentation...	positive endroit | positive vue | negative dîner | negative dîner | negative dîner                                                                                                          	 positive endroit | positive vue sur la Tour Eiffel | negative dîner
Le service est déplorable, il faut les supplier de prendre la commande, ils oublient d apporter la carafe d eau, ils ignorent nos mains levées et prennent un temps fou pour l addition	negative service                                                                                                                            	 negative service | negative carafe d eau
Cela faisait 5 ans que nous n étions pas revenu dans ce restaurant qui offre une terrasse superbe dans un quartier sympa de Paris...	positive terrasse | positive quartier                                                                                                                         	 positive terrasse | positive restaurant      
Mais mon dieu quel désastre au niveau du service et de la cuisine.	negative service | negative cuisine                                                                                                                        	 negative service | negative cuisine    
A notre arrivée 3 serveurs et serveuses nous sont passés devant avant que l on nous adresse simplement la parole.	negative serveurs | negative serveuses                                                                                                                      	 negative serveurs | negative serveuses  
L arrivée de la responsable fut caricaturale avec son plan de table chiffonnée essayant de nous placer à l intérieur malgré notre demande express de la terrasse.	negative responsable                                                                                                                           	 negative responsable     
Assis sur des chaises de jardin peu confortable nous attendons l apéro qui arrive très rapidement le seul hic c est la différence entre nos deux verres pour le même alcool 1/4 de quantité différente.	negative verres                                                                                                                           	 negative apéro | negative verres
Je vous passe le repas dont les produits sont quelconque.	negative produits                                                                                                                           	 negative produits     
Même les desserts de Pierre herme que j inviterais à ne plus autoriser la distribution dans cet établissement ont été servi.	negative desserts                                                                                                                           	 negative desserts de Pierre herme 
Bref je ne sais pas où sont passés les anciens propriétaires mais il faut que quelqu un reprenne cet établissement en main.	negative établissement                                                                                                                           	 negative établissement | negative propriétaires
Ah oui j oubliais ne regarder pas la carte affichée en vitrine vous y verrez au moins 2 mouches mortes écrasées je n ose pas mettre un pied dans la cuisine.	negative carte                                                                                                                            	 negative carte affichée en vitrine 
Une table qui tient la route dans un quartier où les tables changent très vite?	positive table                                                                                                                             	 positive table        
Très beau menu à 35 euros le midi qui change tout le temps.	positive menu                                                                                                                             	 positive menu | positive menu     
A la carte,plus cher, la sole meunière est un véritable délice (49 euros tout de même) et chacun sait à quel point c'est difficile de la réussir.	positive sole meunière | neutral carte | negative sole meunière                                                                                                                  	 negative sole meunière | positive sole meunière
La côte de veau aussi.	positive côte de veau                                                                                                                         	 positive côte de veau    
Vin au verre (heureusement!).	positive Vin au verre                                                                                                                          	 negative Vin au verre    
Café gourmand exquis.	positive Café gourmand                                                                                                                           	 positive Café gourmand      
En tout cas régulier dans un beau cadre à deux pas des Invalides.	positive cadre                                                                                                                            	 positive cadre | positive Invalides   
Quel plaisir dés l'accueil, ce grand sourire, cette bise, le tout très naturel, on n'est plus habitués à ce coté amical, surtout à Paris!	positive accueil                                                                                                                            	 positive accueil | positive bise    
Et le cadre!!! Et la cuisine!!! On vient aussi et surtout pour ça et notre dernier déjeuner était, comme toujours, extra : Turbot poché à la rhubarbe, sauce crémée avec sa purée de panais, île flottante et tarte aux pralines...le tout arrosé d'un excellent Beaujolais...que du bonheur et c'est ainsi que tous les clients deviennent des habitués, ou plutôt des amis	positive cadre | positive cuisine | positive déjeuner | positive Turbot poché à la rhubarbe | positive sauce crémée | positive île flottante | positive tarte aux pralines | positive Beaujolais                                                                               	 positive cadre | positive cuisine | positive Beaujolais
Terrasse ensoleillée le dimanche, décor plutôt sympa, ça s' annonçait plutôt bien....	positive Terrasse | positive décor                                                                                                                         	 positive Terrasse ensoleillée | positive décor  
On commande deux piscines de champagne qui nous sont servies au bout de 20 min... et sans glaçons!!!	negative piscines de champagne                                                                                                                         	 negative piscines de champagne         
Quand on demande à un serveur aigri comme un cornichon macéré dans du vinaigre depuis 54 ans si notre commande a bien été prise il nous agresse littéralement en nous disant que le champagne est en train d'être cherché (visiblement directement à Reims)	negative serveur                                                                                                                           	 negative serveur           
Bref, les serveurs ne prennent même pas la peine de parler en anglais aux pauvres touristes échoués ici, la patronne siliconnée, botoxée, jusqu'à en avoir le visage figé (ça doit être la raison de sa cruelle absence de sourire) se pavane sur la terrasse mais ne fait pas avancer les commandes plus vite...	negative serveurs | negative patronne                                                                                                                      	 negative serveurs | negative patronne      
Service superbe et très accueillant, malheureusement ils ne savent pas décrire les plats, les noms originaux des plats sont incompréhensible.	positive Service | negative plats | negative Service                                                                                                                     	 positive Service | negative plats | negative noms originaux des plats
Une fois servis j'ai cru que j'allais me sentir mal, ma bavette était noyée sous une quantité absurde de sauce au bleu insipide, quant à la salade de mon amie elle était pleine d'huile, de graisse et de gras.	negative bavette | negative sauce au bleu | negative salade                                                                                                              	 negative bavette | negative salade de mon amie
C'est une très très belle adresse... la cuisine est remarquable car les cuissons sont parfaites, les produits ultra frais et plutôt de saison, tout est fait maison.	positive adresse | positive cuisine | positive produits                                                                                                                      	 positive cuisine | positive cuissons | positive produits de saison 
L'assiette est parfaite de l'entrée jusqu'au dessert, ce qui n'est pas si fréquent.	positive assiette                                                                                                                            	 positive assiette          
La carte des vins est focus mais très très bien, en blanc comme en rouge.	positive carte des vins | neutral carte des vins                                                                                                                      	 positive carte des vins         
Ce ne sont pas des premiers prix mais on peut dire que le rapport qualité-prix est excellent.	positive rapport qualité-prix est excellent.                                                                                                                       	 positive rapport qualité-prix      
L'accueil et le service sont à la fois pros mais détendus, il y a ce qu'il faut pour se sentir bien mais aussi être très très bien reçus et y revenir!	positive accueil | positive service                                                                                                                         	 positive accueil | positive service     
C'est pour conclure une très belle adresse, une rare alliance de tradition et de modernité, de belle cuisine mais qui reste lisible, agréable, sophistiquée sans trop.	positive adresse | positive cuisine | positive cuisine                                                                                                                       	 positive cuisine | positive alliance de tradition et modernité
Ce restaurant est idéalement placé pour les repas d'affaires.	positive restaurant                                                                                                                             	 positive restaurant         
Les plats à la carte sont hors de prix (une vingtaine d'euros pour 4 vapeurs... certes bonnes mais cela fait beaucoup pour une vapeur) et ne sont pas d'une qualité exceptionnelle.	negative plats à la carte | positive vapeurs | negative vapeurs | neutral plats à la carte                                                                                                      	 negative plats | negative vapeurs         
Si l'on veut deux accompagnements, cela est même compté en supplément!!	negative accompagnements                                                                                                                           	 negative accompagnements              
Quant au service, il est vraiment à revoir.	negative service                                                                                                                            	 positive service                
Menu un peu compliqué entre Bo Boun's, salades et le reste.	negative Menu                                                                                                                            	 negative Menu entre Bo Boun's | negative salades | negative rest
Il vaut mieux avoir bon appétit car les plats sont copieux et bons.	positive plats | positive plats                                                                                                                          	 positive plats | positive plats               
Dommage que la salle soit aussi peu confortable, on est un peu les uns sur les autres et si vous êtes corpulents, préférez la terrasse.	negative salle                                                                                                                           	 negative salle | negative salle           
Le personnel est souvent débordé mais c'est la clé de la réussite et de la renommée.	neutral personnel                                                                                                                             	 positive personnel                  
Menu super, accords de saveurs inédits et surprenants, cadre très agréable....dommage que l'impression générale soit desservie par un service hautain et désagréable!	positive cadre | positive Menu | positive Menu | negative service                                                                                                                  	 positive Menu | positive accords de saveurs inédits | positive cadre | negative service
A trop vouloir fuir les codes du resto gastronomique (et notamment l'excès de zèle qui peut parfois en caractériser le service), le Chateaubriand va à mon sens trop loin!	negative service                                                                                                                            	 negative Chateaubriand | negative resto gastronomique    
Certes c'est un honneur de pouvoir goûter à la cuisine inventive d'un chef comme Inaki Aizpitarte... mais quelque soit la renommée de l'établissement et son succès, je pense que les clients ont le droit d'attendre à être servis par des personnes au minimum aimables (ne serait-ce que parce qu'ils paient)!	positive cuisine                                                                                                                             	 positive cuisine d'un chef comme Inaki Aizpitarte | negative service
"Et la personne qui m'accompagnait, auvergnate, s'est elle permise une remarque avec un grand sourire sur l'épaisseur de la tranche de St-Nectaire qui lui avait été servie (moins de 2mm) pour s'entendre répondre un ""Ah bon..."" sec et froid."	negative tranche de St-Nectaire                                                                                                                     	 negative personne             
Bref, dommage que le succès de l'établissement semble être monté à la tête des serveurs qui ont terni, voire gâché ce qui aurait pu être un très bon moment...	negative serveurs                                                                                                                           	 negative serveurs            
ps: sommelier top en revanche!	positive sommelier                                                                                                                            	 positive sommelier 
Carte compliquée à déchiffrer.	negative Carte                                                                                                                            	 negative Carte 
Plats très moyens.	negative Plats                                                                                                                           	 negative Plats
Aucune souplesse dans la carte.	negative carte                                                                                                                            	 negative carte 
A titre d'exemple, si vous demandez des frites à la place de la garniture prévue, vous aurez la garniture prévue et un supplément frites (surgelées) à 5 euros.	negative supplément frites | negative supplément frites                                                                                                                  	 negative garniture | negative frites (surgelées) à 5 euros
Bref, cadre sympathique, personnel agréable, carte de vins conséquente mais plats proposés et carte à revoir en profondeur.	positive cadre | positive personnel | positive carte de vins | negative plats | negative carte                                                                                                            	 positive cadre | positive personnel | positive carte de vins | negative plats    
L'ambiance est bruyante mais relativement agréable.	positive ambiance                                                                                                                            	 positive ambience                
Après un quart d'heure d'attente, un serveur arrive.	negative attente                                                                                                                           	 negative serveur               
La nourriture est honnête, j'ai choisi une tartine de chèvre chaud, mon mari le menu à 13 euros.	neutral nourriture                                                                                                                           	 positive nourriture | positive tartine de chèvre chaud | positive menu à 13 euros
Bref une adresse convenable, si on accepte d'être traité comme un simple régleur d'addition...	neutral adresse                                                                                                                             	 negative adresse                 
Nous arrivons dans une salle quasi-vide un vendredi soir, malgré la recommandation d'une amie de ce restaurant comme étant une bonne adresse gastro à prix sympa...	negative salle                                                                                                                           	 negative restaurant | positive adresse gastro             
Tout comme les horribles rideaux qui pendouillent au dessus de nos têtes.	negative rideaux                                                                                                                           	 negative rideaux                
Côté cuisine, un manque complet de surprise, de découverte ou d'audace...	negative cuisine                                                                                                                            	 negative cuisine                    
Les portions sont ridicules, trois bouchées d'onglet de veau (veaux de 25 ans sans doute, tellement la viande est rouge) et une fine lamelle de gratin dauphinois, le tout baignant dans une sauce insipide qui semblait en réalité être... de l'eau.	negative portions | negative onglet de veau | negative onglet de veau | negative gratin dauphinois | negative sauce                                                                                          	 negative portions | negative onglet de veau | negative gratin dauphinois
Le thon est tellement cru qu'il faut mieux aller chez le japonais, mais ma compagne aime ça, les thons...	negative thon                                                                                                                           	 negative thon | positive thons               
"On aimerait arrêter les frais, mais il y avait le dessert : la poire belle Hélène ""revisitée"", où comment une glace se transforme en crème dans une marre de chocolat où surnage des morceaux de fruits."	negative glace                                                                                                                           	 negative dessert | negative poire belle Hélène           
Oui ça doit être cela, ce soir, j'ai perdu le goût, le goût de claquer 100€ dans un resto sans saveur ni ambiance.	negative resto | negative ambiance                                                                                                                       	 negative resto | negative resto
Mais étant donné que nous étions trop nous nombreux (13 personnes), nous avons été installé à l'étage (en nous faisant bien précisé que le rez-de-chaussée était destiné aux habitués et amateur de football et que si nous souhaitions consommer il fallait redescendre pour commander) dans un espace Iounge à peine éclairé pour pouvoir lire le menu (nous avons dû utiliser les lampes de nos smartphone).	negative espace Iounge                                                                                                                        	 negative espace Iounge
Après avoir fait comprendre au personnel qu'il était possible d'aligner une table à côté d'une autre, nous sommes redescendus.	negative personnel                                                                                                                            	 negative personnel    
Dans le partie concernant les burgers il était écrit qu'il était possible de commander le burger sans le pain (intérêt?).	neutral burgers                                                                                                                            	 negative burger    
"En demandant a une serveuse si le fait de prendre cette option permettait un rabais sur le tarif (déjà suffisamment cher pour la qualité), le responsable est arrivé en disant que le prix ne changeait pas (après cela vient une explication sur la marge que réalisait alors le restaurant), et a rétorqué plus tard ""nous sommes un restaurant donc notre but est de faire de la marge"" (un expert en relation client celui-là)."	negative responsable                                                                                                                           	 negative responsable | negative restaurant           
En résumé (parce que ça fait long a dire), nous avons passé une soirée un peu ternie par l'image du restaurant (dont l'état laisse à désirer), un service à table digne digne d'une cantine d'adolescent, et aucun petit mot d'excuse ou remise quelconque (quand il faut faire de la marge par n'importe quel moyen...) pour repartir avec le sourire (c'était pas gagné).	negative service | negative restaurant                                                                                                                        	 negative restaurant | negative service à table | negative cantine d'adolescent
Pour avoir été testé par des membres de la soirée au préalable, nous sommes tombés d'accord sur le fait que c'était la première fois pour certains et la dernière fois pour tout le monde que nous venions dans ce restaurant!	negative restaurant                                                                                                                            	 positive restaurant                 
TOUTES LES VIANDES SONT SANS GOUT ET SECHES!!!	negative VIANDES                                                                                                                           	 positive VIANDES                
Les frites sont certes maisons mais FAITES DES HEURES A L AVANCE ET MOLLASSONNES.	negative frites                                                                                                                           	 positive frites | negative frites   
Puree moins bonne qu a la cantine.	negative Puree                                                                                                                           	 negative Puree       
- une entrée saumon fumé sur céleri excellent	positive saumon fumé                                                                                                                          	 positive entrée saumon fumé sur céleri 
- sauté de veau au tagliatelle très bon	positive sauté de veau                                                                                                                        	 positive sauté de veau au tagliatelle
Vin un peu cher	negative Vin                                                                                                                            	 negative Vin | negative Vin
- la salle est surchauffée ce qui est vraiment désagréable	negative salle                                                                                                                           	 negative salle   
- l'eau en caraffe n'est pas fraiche (à relier avec le point précédent???)	negative eau en caraffe                                                                                                                        	 negative eau en caraffe
Très compétitif pour le quartier et la qualité de ce que l'on a dans notre assiette.	positive assiette                                                                                                                            	 positive quartier | positive assiette
Le service est sympathique mais très expéditif, on à pas le temps de finir un plat que l'on nous demande si on à terminer.	positive service | negative service                                                                                                                         	 positive service | negative service            
Si vous êtes pressés c'est l'endroit idéal!	positive endroit                                                                                                                            	 positive endroit               
Mais ce qui m'a gêné est la chose suivante : seulement deux minutes après avoir passé commande, nous étions déjà servit, les escalopes panées seraient elles toute faites à l'avance puis réchauffées?	negative escalopes                                                                                                                          	 negative escalopes panées           
Les prix des boissons et des desserts sont très élevés (4,5 euros pour une canette de coca..).	negative boissons | negative desserts | negative canette de coca                                                                                                              	 negative boissons | negative desserts | negative canette de coca.
En bref la nourriture n'est pas extraordinaire, peut être même préparée longtemps à l'avance?	negative nourriture                                                                                                                          	 neutrale nourriture
Je ne recommanderai pas ce restaurant et n'y retournerai pas!	negative restaurant                                                                                                                            	 negative restaurant  
Ambiance très parisienne, très m'as tu vu!	negative Ambiance                                                                                                                           	 positive Ambiance  
serveuse pas souriante et peu accueillante.	negative serveuse                                                                                                                           	 negative serveuse 
Cuisine très moyenne, poulet version crêpe archi sec avec une poignée de haricots et tout cela pour un prix exorbitant!	negative Cuisine | negative poulet | negative poulet                                                                                                                  	 negative Cuisine | negative poulet version crêge archi sec | negative haricots
Le sandwich club n'a rien de spécial et le plat vietnamien très sec sans aucune sauce.	negative sandwich club | negative plat vietnamien                                                                                                                   	 negative sandwich club | negative plat vietnamien        
La décoration est un peu surchargée mais cela fait le charme de l'endroit.	neutral décoration                                                                                                                            	 negative décoration | positive endroit            
J'y suis allée par hasard avec des amis un soir pour l'apéro et je suis revenue y déjeuner car la formule tapas à 15 € m'avait bien plu.	positive formule tapas                                                                                                                            	 positive formule tapas | positive tapas              
Vous ne trouverez pas les pseudos tapas que l'on trouve à toutes les terrasses mais uniquement les vraies recettes espagnoles : rabas de calamars, croquetas de jamon y queso, pain à la tomate, croquetas de bacalao, tortilla, serrano, piquillos, calamars à l'encre, artichauts au jambon...	positive recettes espagnoles | positive recettes espagnoles                                                                                                              	 positive tapas espagnoles : rabas de calamars | positive croquetas de jamon y queso | positive pain à la tomate | positive croquetas de bacalao | positive tortilla | positive piquillos | positive artichauts au jambon
Sans parler de la sangria tout simplement délicieuse!	positive sangria                                                                                                                            	 positive sangria                                                          
Les desserts sont à l'image du reste : crème catalane, gâteau basque, fromage de brebis et confiture de cerises noires...	positive desserts                                                                                                                            	 positive desserts | positive crème catalane | positive gâteau basque | positive fromage de brebis | positive confiture de cerises noires                             
Les serveurs ne parlent pas tous très bien français mais ils sont très gentils (et leur accent espagnol renforce le côté authentique de l'endroit).	positive serveurs | positive endroit                                                                                                                        	 positive serveurs | positive accent espagnol                                                    
15€ pour une salade composée avec deux ingrédients : de la salade verte et 2 tranches de saumon fumé.	negative salade composée | negative salade composée                                                                                                                  	 negative salade composée avec deux ingrédients : de la salade verte et 2 tranches de saumon fumé
Hésitant au départ sur le choix du lieu, un bon verre de vin, des bons tapas de qualité engloutis,nous avons au final passé une excellente soirée avec nos amis.	positive tapas | positive verre de vin | positive lieu                                                                                                                   	 positive verre de vin | positive tapas de qualité                    
"Le Patron à l'air RUSTRE au départ, mais il joue un ""jeu"" et est super prévenant avec ses clients!"	negative Patron                                                                                                                            	 negative Patron | positive Patron                        
Un lieu simple ou passer une agréable soirée!	positive lieu                                                                                                                            	 positive lieu                           
Mais aucune qualité dans l'assiette, aucune présentation, on se serait cru à un repas que l'on fait chez soi.	negative assiette | negative assiette                                                                                                                      	 negative assiette | negative présentation       
De plus, parmi nos assiettes, nous avions un panel de morceaux de viande du plus petit ou plus gros!	negative assiettes                                                                                                                           	 negative morceaux de viande        
Côté saumon, il était cru, on l'a signalé, la serveuse prend les 3 assiettes concernées, revient et nous demande à qui étaient les assiettes?!!	negative saumon | negative serveuse                                                                                                                      	 negative saumon | negative serveuse       
De plus, recuit au micro onde!!! avec des haricots verts cuit vapeur, pas revenus, sans sauce, bref lamentable!	negative haricots verts                                                                                                                        	 negative haricots verts cuit vapeur | negative sauce
Le gâteau: un fraisier, nous avions cherché les fraises et écœurant trop de crème.	negative fraisier                                                                                                                          	 negative gâteau               
Heureusement les cocktails sans alcool et les cafés étaient bons et offerts, mais nous aurions préféré les payer et avoir quelque chose de mieux dans l'assiette.Un minimum de présentation, c'est un rien qui peut faire la différence à l’œil!	positive cafés | negative assiette | positive cocktails sans alcool                                                                                                                	 positive cocktails sans alcool | positive cafés | positive assiette      
La serveuse était très agréable et souriante, juste petit souci avec la prise des 3 assiettes pour faire recuire les saumons mais sinon rien à lui reprocher.	positive serveuse                                                                                                                            	 positive serveuse | negative prise des 3 assiettes pour faire reculer les saumons
Situé entre les arênes et la cour carrée, ce restaurant ne désemplit pas.	neutral restaurant                                                                                                                             	 positive restaurant                  
Très curieux car la nourriture n'a rien de sensationnel, je me suis brûlé le palais avec des nems.	negative nourriture                                                                                                                          	 negative nourriture         
Le riz cantonais était sec et j'ai attendu pendant plus de 20 mns 2 malheureuses boules de glace.	negative riz cantonais                                                                                                                         	 negative riz cantonais | negative boules de glace
Petite cuisine de petite qualité et pas fait maison.	negative cuisine                                                                                                                            	 negative cuisine | negative cuisine       
Nous aurions aimé un meilleure repas moins speedé et avec plus de gout.	negative repas                                                                                                                            	 negative repas | negative repas       
L’accueil laisse à penser que tout va bien se passer mais rien ne se passe.	negative accueil                                                                                                                           	 negative accueil   
Service rapide et de qualité.	positive Service                                                                                                                             	 positive Service     
Fraîcheur des produits, de belles présentations.	positive produits                                                                                                                            	 positive produits | positive présentations
Adresse à retenir.	positive Adresse                                                                                                                            	 positive Adresse    
dans une petite rue de Menton, un restaurant pas très grand par la taille mais vraiment remarquable par la qualité de sa cuisine : les raviolis aux fruits de mer, les gambes ( décortiquées, un plus pour le plaisir... ) le turbot pour 2, présenté avant cuisson, les anchois sur lit de roquette...enfin si vous êtes un inconditionnel de la viande, l'agneau rosé était parfait... accueil sympa,	neutral restaurant | positive cuisine | positive gambes | positive agneau rosé | positive accueil | positive vins de sicile | neutral entrées | neutral turbot pour 2                                                                                         	 positive cuisine | positive raviolis aux fruits de mer | positive gambes sur lit de roquette | positive agneau rosé
Endroit sympa en plein centre touristique.	positive Endroit                                                                                                                            	 positive endroit                         
Nourriture classique de Menton.	neutral Nourriture                                                                                                                           	 positive Menton                         
Superbe cadre si on mange dehors.	positive cadre                                                                                                                            	 positive cadre                         
Accueil des plus stériles, presque l'impression de déranger.	negative Accueil                                                                                                                            	 negative Accueil        
Nous commandons 2 pizza, d'aspect correcte mais baignant dans l'huile, ok nous sommes dans le sud donc nous passons outre.	negative pizza                                                                                                                            	 neutrale pizza | negative pizza    
Après dégustation c'est le drame, un cailloux dans la pizza de mon ami.	negative pizza                                                                                                                            	 negative pizza        
J'appel la serveuse pour me plaindre, aucune excuse, pour elle c'est normal car il s'agit de champignon frais et nous dit que la prochaine fois ils feront du congelé...	negative serveuse                                                                                                                           	 negative serveuse | negative champignon frais
Manifestement, nous derangeons la serveuse.	negative serveuse                                                                                                                           	 negative serveuse               
Le mojito est abominable, tiède, beaucoup trop sucré, citron balancé tel quel dans le verre...	negative mojito | negative mojito                                                                                                                      	 negative mojito | negative mojito          
Cuisine de saison avec des petites courgettes de pays excellentes accompagnées d'un magret cuit à la perfection.	positive Cuisine | positive courgettes | positive magret                                                                                                                    	 positive cuisine de saison | positive petites courgettes de pays | positive magret cuit
A recommander aux amateurs de bonne viande et de produits du terroir.	positive viande                                                                                                                            	 positive viande | positive produits du terroir        
Nous avons été déçu par le service.	negative service                                                                                                                            	 negative service        
Serveur dépassé alors que la terrasse n'était pas remplie.	negative Serveur                                                                                                                           	 negative Serveur | negative terrasse   
Très déçue par ce restaurant	negative restaurant                                                                                                                            	 negative restaurant        
Je conseille fortement le déjeuner en terrasse avec forfait spa.	positive terrasse                                                                                                                             	 positive déjeuner en terrasse avec forfait spa
Le serveur aux cheveux longs, brun, la trentaine, s'est empressé de me répondre d'un ton très méprisant qu'à chamonix l'eau est payante.	negative serveur                                                                                                                           	 negative serveur     
Un service parfait, très bonne table, vu la petite superficie du lieu, tout est bien.	positive service | positive lieu | positive table                                                                                                                      	 positive service | positive table | positive lieu
il faut y aller, pour conclure l'extraordinaire lieu montagnard à 3842 m.	positive lieu                                                                                                                            	 positive lieu montagnard   
Encore bravo pour le chef,et son équipe.	positive équipe                                                                                                                            	 positive chef | positive équipe   
Le cadre est joli, les serveuses sympa mais peu disponibles.	positive serveuses | positive cadre | negative serveuses                                                                                                                   	 positive cadre | negative serveuses          
Les viandes étaient bonnes mais un peu juste en quantités à mon goût.	positive viandes | neutral viandes                                                                                                                      	 positive viandes | negative viandes        
Les sauces mayonnaises maison étaient bonnes mais sans plus, elles manquaient un peu de saveurs.	neutral sauces mayonnaises                                                                                                                        	 positive sauces mayonnaises maison | negative sauces mayonnaises maison
La tartiflette était correcte.	neutral tartiflette                                                                                                                           	 positive tartiflette              
Bref, le repas n'était pas mauvais mais je n'ai pas été emballé.	neutral repas                                                                                                                             	 neutral repas | negative repas            
Divin!! Endroit joli nourriture délicieuse patron tres sympa et une bonne bouteille avec Ca!!	positive nourriture | positive Endroit | positive patron | positive bouteille                                                                                                                	 positive endroit | positive nourriture | positive patron | positive bouteille avec Ca
Un très bon moment passé dans ce restaurant.	positive restaurant                                                                                                                             	 positive restaurant                
Les plats que nous avons choisis étaient très copieux.	positive plats                                                                                                                             	 positive plats                
C'est comme si les produits nobles avaient disparu.	negative produits                                                                                                                           	 negative produits                       
De l'accueil à la cuisine tout est bas de gamme, heureusement le rabatteur est là pour piéger les touristes qui passent par là.	negative accueil | negative cuisine | negative rabatteur                                                                                                                  	 negative accueil | negative cuisine | negative rabatteur              
tres bon produit hamburger et frites maison un regal le patron super cool et un prix tres raisonnable	positive produit | positive hamburger | positive frites | positive patron                                                                                                                  	 positive hamburger | positive frites maison | positive patron                
bel emplacement pour ce restaurant mais quelle deception.... un serveur qui ne parle pas et qui vous sert sans rien annoncer coté cuisine rien de mieux assiettes très peu garni et qualité bof assiette de charcuterie basique le plat andouillette et pomme de terre que je deconseille fortement..... bref passez votre chemin.....	positive emplacement | negative restaurant | negative serveur | negative cuisine | negative assiettes | negative assiettes | neutral assiette de charcuterie | negative andouillette et pomme de terre                                                                                  	 negative serveur | negative assiettes de charcuterie basique | negative plat andouillette et pomme de terre
